first_name,middle_name,last_name,team_abrv_unordered,MLC_strike_rate,MLC_average,MLC_fours,MLC_sixes
Tim,N/A,Seifert,SOR,149.79,37,29,24
Shimron,N/A,Hetmyer,SOR,183.15,55.55,26,39
Mitchell,N/A,Owen,WAF,204.59,38.14,49,37
Steven ,N/A,Smith ,WAF,143.7,43.11,30,21
Faf,Du ,Plessis,TSK,166.06,40.96,99,61
Rilee,N/A,Rossouw,TSK,146.1,27.11,17,14
Lhuan,Dre,Pretorius,SFU,168.61,77,21,13
Finn,N/A,Allen,SFU,195.26,27.48,58,61
Colin,N/A,Munro,LAKR,151.61,94,8,6
Andre,N/A,Fletcher,LAKR,160.61,40.33,33,18
Quinton ,De,Kock,MINY,142.37,31.67,80,45
Nicholas ,N/A,Pooran ,MINY,140.18,43.16,74,61